User,Artist,Plays
User 1,nightwish,179843
User 2,the beatles,170096
User 3,nine inch nails,136695
User 4,pink floyd,49298
User 5,madonna,92254
User 6,the beatles,25479
User 7,pink floyd,116025
User 8,in flames,112989
User 9,pink floyd,118857
User 10,the beatles,112415
User 11,in flames,96943
User 12,muse,110098
User 13,pink floyd,8576
User 14,in flames,49589
User 15,pink floyd,17054
User 16,radiohead,99005
User 17,the beatles,49266
User 18,radiohead,62511
User 19,nine inch nails,68136
User 20,in flames,37495
User 21,pink floyd,23424
User 22,in flames,41695
User 23,metallica,85125
User 24,nine inch nails,53761
User 25,in flames,28962
User 26,in flames,10690
User 27,nine inch nails,52825
User 28,nine inch nails,8256
User 29,in flames,52070
User 30,nine inch nails,15428
User 31,metallica,23692
User 32,radiohead,20860
User 33,nine inch nails,10664
User 34,radiohead,27874
User 35,in flames,9508
User 36,nine inch nails,31727
User 37,nine inch nails,42970
User 38,led zeppelin,19192
User 39,nine inch nails,30705
User 40,the beatles,16944
User 41,nine inch nails,17432
User 42,nine inch nails,17436
User 43,muse,12933
User 44,the beatles,28489
User 45,nine inch nails,27208
User 46,muse,13071
User 47,porcupine tree,19650
User 48,metallica,44155
User 49,the beatles,20361
User 50,pink floyd,22458
