User,Artist,Plays
User 51,the beatles,33685
User 51,modest mouse,5980
User 51,belle and sebastian,5165
User 51,the cure,4762
User 51,the smiths,4670
User 51,death cab for cutie,3089
User 51,pink floyd,2351
User 51,the shins,2334
User 51,radiohead,2304
User 51,bob dylan,2270
User 51,the rolling stones,1791
User 51,sigur rós,1027
User 51,the smashing pumpkins,878
User 51,elliott smith,844
User 51,pixies,823
User 51,the clash,684
User 51,david bowie,509
User 52,nine inch nails,20287
User 52,system of a down,8240
User 52,the beatles,5944
User 52,david bowie,4253
User 52,the white stripes,4169
User 52,tool,4098
User 52,franz ferdinand,4017
User 52,radiohead,3028
User 52,ac/dc,2363
User 52,the smashing pumpkins,2352
User 52,marilyn manson,1965
User 52,the prodigy,1682
User 52,ramones,1672
User 52,nirvana,1527
User 52,boards of canada,1502
User 52,foo fighters,1423
User 52,björk,1156
User 52,led zeppelin,976
User 52,kanye west,943
User 52,green day,640
User 52,the strokes,404
User 53,elliott smith,27602
User 53,the beatles,6590
User 53,johnny cash,4846
User 53,modest mouse,4096
User 53,bright eyes,3705
User 53,beck,3603
User 53,death cab for cutie,3072
User 53,air,2957
User 53,tom waits,2955
User 53,radiohead,2508
User 53,the smashing pumpkins,2380
User 53,pearl jam,1946
User 53,sufjan stevens,1683
User 53,a perfect circle,1554
User 53,queens of the stone age,1502
User 53,tori amos,1498
User 54,britney spears,59758
User 54,evanescence,6349
User 54,amy winehouse,2120
User 54,avril lavigne,1306
User 54,madonna,812
User 54,the smiths,516
User 54,nightwish,236
User 54,marilyn manson,138
User 55,opeth,31836
User 55,queen,7784
User 55,pink floyd,7535
User 55,in flames,5328
User 55,iron maiden,4769
User 55,slipknot,3637
User 55,led zeppelin,3439
User 55,koЯn,2325
User 55,disturbed,1790
User 55,metallica,1701
User 55,ac/dc,578
User 56,led zeppelin,22043
User 56,radiohead,17972
User 56,the white stripes,16271
User 56,bob dylan,8964
User 56,oasis,1541
User 56,the beatles,928
User 56,the rolling stones,887
User 56,incubus,634
User 56,pearl jam,432
User 56,the smashing pumpkins,233
User 56,nirvana,213
User 56,foo fighters,168
User 56,u2,155
User 56,nine inch nails,130
User 56,the doors,104
User 57,the smashing pumpkins,15800
User 57,depeche mode,13663
User 57,nine inch nails,8615
User 57,in flames,8495
User 57,a perfect circle,5129
